id,source,src_surface
01:000001,"BG-01-1630-01-0100,BG-08-0061-07-0100,BG-01-1770-01-0300,BG-08-0061-05-0100,BG-01-1624-02-0100,BG-08-0065-07-0100,BG-02-1527-01-0102,BG-03-1200-02-0900,BG-09-0010-04-0300,BG-01-1950-14-0100,BG-08-0061-10-0100,BG-01-1642-02-0100,BG-08-0061-04-0100,BG-08-0065-14-0100,BG-02-3120-01-0100,BG-03-3012-03-2600,BG-01-1641-02-0100,BG-08-0061-04-0100,BG-08-0065-14-0100,BG-02-3120-01-0100,BG-03-3012-03-2600",年の内に春はきにけり一とせをこそとやいはんことしとやいはん
01:000002,"BG-01-4240-01-0100,BG-02-5130-01-2100,BG-08-0064-16-0100,BG-02-1515-08-0105,BG-09-0010-04-0200,BG-01-5130-03-0201,BG-08-0061-07-0100,BG-02-5160-01-0101,BG-09-0010-03-0300,BG-08-0061-10-0100,BG-01-1624-02-0100,BG-02-1513-01-0100,BG-01-1641-02-1100,BG-08-0061-07-0100,BG-01-5151-01-0100,BG-08-0065-14-0100,BG-02-1550-05-0200,BG-09-0010-02-0103",袖ひちてむすひし水のこほれるを春たつけふの風やとくらん
01:000003,"BG-01-5152-09-0400,BG-02-1513-01-0100,BG-09-0010-03-0300,BG-08-0065-14-0100,BG-01-1700-02-1004,CH-29-0000-00-2601,BG-08-0061-07-0100,CH-29-0000-00-2600,BG-08-0061-07-0100,BG-01-5240-05-0100,BG-08-0061-05-0100,BG-01-5153-07-0100,BG-08-0065-07-0100,BG-02-1540-10-0100,BG-08-0064-15-0100",春霞たてるやいつこみよしのゝ吉野の山に雪はふりつゝ
01:000004,"BG-01-5153-07-0100,BG-08-0061-07-0100,BG-01-1770-01-0300,BG-08-0061-05-0100,BG-01-1624-02-0100,BG-08-0065-07-0100,BG-02-1527-01-0102,BG-03-1200-02-0900,BG-09-0010-04-0300,BG-01-5620-02-1300,BG-08-0061-07-0100,BG-02-5160-01-0101,BG-09-0010-03-0300,BG-01-5770-06-0100,BG-01-1641-01-0101,BG-08-0065-14-0100,BG-02-1550-05-0200,BG-09-0010-02-0103",雪のうちに春はきにけり鴬のこほれる涙いまやとくらん
01:000005,"BG-01-5520-20-0401,BG-08-0061-02-0100,BG-01-5530-08-0501,BG-08-0061-05-0100,BG-02-1527-01-0102,BG-02-1200-02-0102,BG-01-5620-02-1300,BG-01-1624-02-0100,BG-02-1515-07-0205,BG-08-0064-16-0100,BG-02-3030-03-0100,BG-04-1130-01-1900,BG-08-0065-08-0100,BG-03-1650-01-0200,BG-01-5153-07-0100,BG-08-0065-07-0100,BG-02-1540-10-0100,BG-08-0064-15-0100",梅かえにきゐる鴬春かけてなけともいまた雪は降つゝ
01:000006,"BG-01-1624-02-0100,BG-02-1513-01-0100,BG-08-0064-26-0100,BG-01-5530-12-0100,BG-08-0061-04-0100,BG-08-0065-14-0100,BG-02-1556-01-0202,BG-09-0010-02-0103,BG-01-5153-07-0200,BG-08-0061-07-0100,BG-02-1515-07-0101,BG-09-0010-03-0300,BG-01-5530-08-0500,BG-08-0061-05-0100,BG-01-5620-02-1300,BG-08-0061-07-0100,BG-02-3030-03-0100",春たては花とや見らん白雪のかゝれる枝にうくひすのなく
01:000007,"BG-01-3000-01-0200,BG-02-3091-01-0300,BG-03-1920-05-0102,BG-02-5020-02-0100,BG-09-0010-03-0100,BG-09-0010-04-0200,BG-02-1570-01-0100,BG-09-0010-04-0300,BG-08-0064-26-0100,BG-02-1240-06-0104,BG-02-3040-06-1100,BG-03-1200-02-0800,BG-01-5153-07-0100,BG-08-0061-07-0100,BG-01-5530-12-0100,BG-08-0061-04-0100,BG-02-3090-02-0200,BG-09-0010-02-0103",心さしふかくそめてしおりけれはきえあへぬ雪の花とみゆらん
01:000008,"BG-01-1624-02-0100,BG-08-0061-07-0100,BG-01-1634-01-0100,BG-08-0061-07-0100,BG-01-5010-01-0100,BG-08-0061-05-0100,BG-02-1120-03-0400,BG-01-2000-01-0100,BG-09-0010-02-0700,BG-04-1130-01-1900,BG-01-2430-06-0100,BG-08-0061-07-0100,BG-01-5153-07-0100,BG-08-0061-04-0100,BG-02-1220-01-0300,BG-08-0065-05-0100,BG-03-3011-03-1900",春の日のひかりにあたる我なれとかしらの雪となるそわひしき
01:000009,"BG-01-5152-09-0100,BG-02-1513-01-0100,BG-01-5510-02-0101,BG-08-0061-07-0100,BG-01-5530-01-0100,BG-08-0065-08-0100,BG-01-1624-02-0100,BG-08-0061-07-0100,BG-01-5153-07-0100,BG-02-1540-10-0100,BG-08-0064-26-0100,BG-01-5530-12-0100,BG-03-1200-02-0200,BG-01-2540-04-0800,BG-08-0065-08-0100,BG-01-5530-12-0100,BG-08-0065-05-0100,BG-02-1552-01-0100,BG-09-0010-04-0300",霞たちこのめも春の雪ふれは花なき里も花そちりける
01:000010,"BG-01-1624-02-0100,BG-08-0065-14-0100,BG-03-1940-01-0300,BG-01-5530-12-0100,BG-08-0065-14-0100,BG-03-1940-02-0102,BG-08-0061-04-0100,BG-02-3092-01-0100,BG-02-1552-03-0200,BG-03-3012-03-2600,BG-01-5620-02-1300,BG-01-1990-05-0400,BG-08-0065-08-0100,BG-02-3030-03-0100,BG-03-1200-02-0800,BG-08-0065-08-0100,BG-02-1200-01-0102,BG-08-0069-11-0900",はるやとき花やをそきときゝわかん鴬たにもなかすも有哉
01:000011,"BG-01-1624-02-0100,BG-02-1527-01-0102,BG-03-1200-02-0900,BG-08-0061-04-0100,BG-01-2000-06-0800,BG-08-0065-07-0100,BG-02-3120-01-0100,BG-04-1130-01-1900,BG-08-0065-08-0100,BG-01-5620-02-1300,BG-08-0061-07-0100,BG-02-3030-03-0100,BG-03-1200-02-0800,BG-02-1900-04-0100,BG-08-0065-07-0100,BG-02-1200-01-0102,BG-09-0010-01-0200,BG-08-0061-04-0100,BG-08-0065-05-0100,BG-02-3060-01-0101",春きぬと人はいへとも鴬のなかぬかきりはあらしとそ思ふ
01:000012,"BG-01-5151-05-1300,BG-08-0061-05-0100,BG-02-1550-05-0200,BG-01-5130-11-0101,BG-08-0061-07-0100,BG-01-1840-04-0100,BG-01-1613-01-0200,BG-08-0061-05-0100,BG-02-1563-01-0101,BG-02-1210-01-0304,BG-01-5155-01-0101,BG-08-0065-14-0100,BG-01-1624-02-0100,BG-08-0061-07-0100,BG-01-5810-08-1400",谷風にとくる氷のひまことにうち出る浪や春のはつ花
01:000013,"BG-01-5530-12-0100,BG-08-0061-07-0100,BG-01-5040-01-0100,BG-08-0061-10-0100,BG-01-5151-01-0100,BG-08-0061-07-0100,BG-01-3123-04-1200,BG-08-0061-05-0100,BG-02-1562-03-1300,BG-08-0064-16-0100,BG-08-0065-05-0100,BG-01-5620-02-1300,BG-02-3510-08-0300,BG-01-4580-05-0400,BG-08-0061-05-0100,BG-08-0065-07-0100,BG-02-1521-05-0101",花のかを風のたよりにたくへてそ鴬さそふしるへにはやる
01:000014,"BG-01-5620-02-1300,BG-08-0061-07-0100,BG-01-5240-19-0100,BG-01-1670-03-0305,BG-02-1210-01-0304,BG-01-3031-01-0102,BG-03-1200-02-0200,BG-08-0065-07-0100,BG-01-1624-02-0100,BG-02-1527-01-0102,BG-01-1010-01-0200,BG-08-0061-10-0100,BG-01-2000-06-0100,BG-08-0065-14-0400,BG-02-3060-07-0100,BG-03-3012-03-2500",鴬の谷より出る聲なくは春くることをたれかしらまし
01:000015,"BG-01-1624-02-0100,BG-02-1513-01-0100,BG-04-1130-01-1900,BG-01-5530-12-0100,BG-08-0065-08-0100,BG-02-5040-01-0100,BG-03-1200-02-0800,BG-01-2540-04-1000,BG-08-0065-07-0100,BG-01-1000-03-0201,BG-03-3011-03-1800,BG-01-5030-01-0200,BG-08-0061-05-0100,BG-01-5620-02-1300,BG-08-0065-05-0100,BG-02-3030-03-0100",はるたてと花も匂はぬ山さとは物うかるねに鴬そなく
01:000016,"BG-01-5240-14-0300,BG-03-1920-06-0700,BG-01-2510-01-0502,BG-02-1200-02-0102,BG-09-0010-04-0200,BG-02-1200-02-0205,BG-08-0064-26-0100,BG-01-5620-02-1300,BG-08-0061-07-0100,BG-02-3030-03-0100,BG-09-0010-02-0700,BG-01-3031-01-0102,BG-08-0065-07-0100,BG-01-1613-03-0500,BG-02-3092-01-0100",のへちかくいへゐしをれは鴬のなくなる聲は朝な〈朝な〉きく
01:000017,"CH-29-0000-00-1200,BG-08-0065-07-0100,BG-01-1641-02-1100,BG-08-0065-07-0100,BG-03-1200-03-3400,BG-02-3840-02-1400,BG-08-0069-40-0100,BG-01-5510-06-0800,BG-08-0061-07-0100,BG-01-2110-03-0100,BG-08-0065-08-0100,BG-02-1532-05-0501,BG-09-0010-03-0300,BG-01-2000-01-0100,BG-08-0065-08-0100,BG-02-1532-05-0501,BG-09-0010-03-0300",春日野はけふはなやきそ若草のつまもこもれり我もこもれり
01:000018,"CH-29-0000-00-1200,BG-08-0061-07-0100,BG-01-5161-07-0600,BG-08-0061-07-0100,BG-01-2417-02-0900,BG-02-1210-01-0304,BG-08-0064-16-0100,BG-02-1556-01-0202,BG-01-1641-01-0101,BG-01-1950-07-0700,BG-02-1200-01-0102,BG-08-0064-16-0100,BG-01-5510-09-0700,BG-02-3393-02-0400,BG-09-0010-03-0100,BG-03-3012-03-2600",かすかのゝとふひのゝもり出て見よいまいくか有て若なつみてん
01:000019,"BG-01-5240-05-1000,BG-08-0061-05-0100,BG-08-0065-07-0100,BG-01-5520-34-0301,BG-08-0061-07-0100,BG-01-5153-07-0100,BG-01-1990-05-0400,BG-02-1240-06-0104,BG-03-1200-02-0800,BG-08-0071-05-0100,BG-08-0061-05-0100,BG-01-2540-03-0100,BG-08-0065-07-0100,BG-01-5240-14-0300,BG-08-0061-07-0100,BG-01-5510-09-0700,BG-02-3393-02-0400,BG-09-0010-04-0300",み山には松の雪たにきえなくに都はのへのわかなつみけり
01:000020,"BG-01-4551-02-0204,BG-02-1564-01-0100,BG-08-0064-16-0100,BG-01-5153-05-0100,BG-01-1641-02-1100,BG-02-1540-10-0100,BG-03-1200-02-0900,BG-01-1643-04-0200,BG-01-1990-05-0301,BG-02-1540-10-0100,BG-08-0064-26-0100,BG-01-5510-09-0700,BG-02-3393-02-0400,BG-09-0010-03-0100,BG-03-3012-03-2600",梓弓をして春雨けふゝりぬあすさへふらはわかなつみてん
01:000021,"BG-01-2000-02-0300,BG-08-0061-02-0100,BG-01-1113-02-0501,BG-01-1624-02-0100,BG-08-0061-07-0100,BG-01-5240-14-0100,BG-08-0061-05-0100,BG-02-1210-01-0304,BG-08-0064-16-0100,BG-01-5510-09-0700,BG-02-3393-02-0400,BG-01-2000-01-0100,BG-01-4240-01-1300,BG-08-0061-05-0100,BG-01-5153-07-0100,BG-08-0065-07-0100,BG-02-1540-10-0100,BG-08-0064-15-0100",君かため春の野に出て若なつむ我衣てに雪は降つゝ
01:000022,"CH-29-0000-00-1200,BG-08-0061-07-0100,BG-01-5510-09-0700,BG-02-3393-02-0400,BG-08-0061-05-0100,BG-08-0065-14-0100,BG-01-4201-02-1601,BG-08-0061-07-0100,BG-01-4240-01-0100,BG-02-1511-02-0200,BG-02-1523-07-0600,BG-08-0064-16-0100,BG-01-2000-06-0800,BG-08-0061-07-0100,BG-02-1527-03-0101,BG-09-0010-02-0103",春日野のわかなつみにや白妙の袖ふりはへて人の行らん
01:000023,"BG-01-1624-02-0100,BG-08-0061-07-0100,BG-02-3330-03-0100,BG-01-5152-09-0100,BG-08-0061-07-0100,BG-01-4210-01-0300,BG-01-4200-06-1400,BG-08-0061-10-0100,BG-03-1921-01-0500,BG-01-1113-01-1400,BG-01-5151-05-0700,BG-08-0061-05-0100,BG-08-0065-01-0100,BG-02-1300-03-0100,BG-09-0010-02-1000",春のきる霞の衣ぬきをうすみ山風にこそみたるへらなれ
